iter	Passed	Remaining
836	576	2868
837	577	2866
838	577	2864
839	578	2862
840	578	2860
841	579	2859
842	579	2856
843	579	2854
844	580	2852
845	581	2854
846	581	2852
847	582	2851
848	582	2850
849	584	2851
850	584	2849
851	585	2848
852	585	2847
853	586	2845
854	586	2844
855	587	2846
856	588	2843
857	588	2841
858	589	2839
859	589	2838
860	590	2837
861	590	2836
862	591	2834
863	591	2833
864	592	2832
865	592	2830
866	593	2828
867	594	2827
868	594	2826
869	595	2828
870	597	2830
871	597	2829
872	597	2826
873	598	2825
874	599	2824
875	599	2823
876	600	2822
877	600	2820
878	601	2818
879	601	2817
880	602	2816
881	602	2814
882	603	2813
883	603	2811
884	604	2809
885	604	2808
886	606	2810
887	606	2809
888	607	2808
889	607	2806
890	608	2805
891	608	2803
892	609	2802
893	609	2799
894	610	2798
895	610	2796
896	611	2795
897	611	2793
898	612	2792
899	612	2790
900	612	2788
901	613	2787
902	614	2786
903	614	2784
904	615	2783
905	615	2782
906	616	2781
907	617	2780
908	617	2780
909	618	2779
910	618	2777
911	619	2776
912	619	2774
913	620	2772
914	620	2771
915	621	2771
916	622	2770
917	623	2772
918	624	2772
919	624	2771
920	625	2770
921	626	2769
922	626	2767
923	626	2765
924	627	2763
925	628	2763
926	628	2761
927	628	2759
928	629	2758
929	629	2756
930	630	2754
931	630	2753
932	631	2752
933	631	2750
934	632	2748
935	632	2746
936	633	2745
937	633	2744
938	634	2743
939	634	2741
940	635	2740
941	635	2737
942	636	2736
943	636	2735
944	636	2733
945	637	2732
946	637	2730
947	638	2729
948	639	2728
949	639	2727
950	640	2725
951	640	2723
952	640	2721
953	641	2720
954	642	2719
955	642	2717
956	643	2716
957	643	2715
958	644	2714
959	644	2713
960	645	2712
961	645	2710
962	646	2709
963	646	2708
964	647	2706
965	647	2704
966	648	2704
967	648	2702
968	649	2700
969	649	2698
970	650	2699
971	651	2699
972	651	2697
973	652	2695
974	652	2695
975	653	2693
976	653	2692
977	654	2690
978	654	2688
979	655	2687
980	655	2686
981	656	2684
982	656	2683
983	657	2682
984	657	2680
985	658	2681
986	659	2680
987	659	2678
988	660	2677
989	660	2675
990	660	2673
991	661	2672
992	662	2672
993	663	2672
994	663	2670
995	663	2668
996	664	2667
997	664	2666
998	665	2665
999	666	2665
1000	667	2665
1001	667	2665
1002	668	2663
1003	668	2662
1004	669	2660
1005	670	2661
1006	671	2662
1007	671	2660
1008	672	2660
1009	673	2658
1010	673	2657
1011	673	2655
1012	674	2654
1013	675	2656
1014	676	2655
1015	676	2653
1016	677	2652
1017	677	2651
1018	678	2650
1019	679	2652
1020	680	2650
1021	680	2649
1022	681	2647
1023	681	2647
1024	682	2646
1025	683	2645
1026	683	2645
1027	684	2645
1028	685	2647
1029	686	2647
1030	687	2646
1031	688	2645
1032	688	2644
1033	689	2645
1034	690	2644
1035	690	2642
1036	691	2641
1037	691	2640
1038	692	2638
1039	692	2637
1040	693	2635
1041	693	2634
1042	694	2632
1043	694	2631
1044	694	2629
1045	695	2627
1046	695	2626
1047	696	2625
1048	697	2626
1049	698	2625
1050	698	2624
1051	699	2623
1052	699	2622
1053	700	2620
1054	700	2619
1055	700	2617
1056	701	2616
1057	701	2614
1058	702	2613
1059	702	2611
1060	704	2613
1061	704	2614
1062	705	2613
1063	706	2612
1064	706	2612
1065	707	2611
1066	708	2610
1067	709	2611
1068	709	2610
1069	710	2609
1070	710	2607
1071	711	2606
1072	711	2604
1073	712	2603
1074	712	2601
1075	712	2599
1076	713	2598
1077	713	2597
1078	714	2596
1079	714	2594
1080	715	2593
1081	716	2595
1082	717	2594
1083	717	2593
1084	718	2592
1085	718	2590
1086	719	2590
1087	720	2588
1088	720	2587
1089	721	2586
1090	721	2585
1091	722	2584
1092	722	2582
1093	723	2583
1094	724	2582
1095	724	2581
1096	725	2579
1097	725	2578
1098	726	2577
1099	727	2578
1100	727	2576
1101	728	2575
1102	728	2573
1103	728	2572
1104	729	2571
1105	730	2570
1106	730	2569
1107	731	2568
1108	731	2567
1109	732	2565
1110	732	2564
1111	733	2563
1112	733	2562
1113	734	2561
1114	734	2559
1115	735	2558
1116	735	2556
1117	736	2555
1118	736	2555
1119	737	2553
1120	737	2552
1121	737	2550
1122	738	2548
1123	738	2547
1124	739	2546
1125	740	2547
1126	740	2546
1127	741	2545
1128	741	2544
1129	742	2542
1130	743	2544
1131	744	2543
1132	744	2542
1133	745	2541
1134	745	2539
1135	746	2538
1136	747	2538
1137	748	2538
1138	748	2537
1139	749	2536
1140	749	2535
1141	750	2534
1142	750	2532
1143	750	2531
1144	751	2529
1145	751	2528
1146	752	2528
1147	753	2526
1148	753	2525
1149	754	2525
1150	754	2524
1151	755	2522
1152	756	2523
1153	756	2522
1154	757	2520
